response A record, country, proportion
127.0.0.1,US,0.4118942731277533
67.20.113.163,US,1.0
173.254.104.74,US,1.0
173.254.30.154,US,1.0
208.91.196.56,VG,1.0
0.8.97.123,JP,1.0
0.8.102.177,US,0.9705882352941176
0.10.78.25,US,1.0
0.8.106.198,HK,1.0
0.8.108.52,RU,0.9932885906040269
0.8.106.139,RU,1.0
0.8.98.152,BD,0.4710510389348396
67.20.115.110,US,1.0
0.8.109.191,AU,1.0
0.8.102.47,UA,1.0
0.8.105.21,UA,1.0
0.8.119.182,US,1.0
0.9.66.68,JP,1.0
0.9.180.198,BR,0.6214953271028038
162.241.85.139,US,1.0
0.8.111.232,TW,1.0
0.9.9.78,ES,0.9615384615384616
192.185.4.20,US,1.0
0.8.104.96,GB,1.0
0.8.121.146,TR,1.0
0.8.102.126,IT,0.9411764705882353
0.8.104.152,IT,1.0
0.9.49.251,DO,0.28776978417266186
50.87.192.171,US,1.0
0.8.101.9,PH,0.5213478442863123
0.8.111.240,BD,0.3632745878339966
0.8.105.112,US,1.0
0.8.114.140,IN,1.0
0.8.103.165,ID,0.8
0.8.100.25,ID,0.5054347826086957
0.8.105.241,KR,1.0
0.8.112.71,GE,1.0
0.8.108.48,GE,1.0
50.87.144.169,US,1.0
0.8.108.124,ID,1.0
0.8.103.114,IT,0.8714285714285714
50.87.144.136,US,1.0
0.8.101.40,BD,0.6547788873038516
0.8.107.17,DO,0.4252400548696845
0.8.115.152,DE,1.0
0.8.104.110,HU,1.0
0.8.102.71,TW,1.0
0.8.110.191,CL,1.0
0.8.108.42,CA,0.9675675675675676
0.8.105.28,DK,1.0
0.8.122.168,DE,1.0
0.8.128.25,KR,1.0
0.8.100.217,BD,0.617225659394334
0.8.114.230,GB,1.0
0.8.106.84,BD,0.98828125
0.8.102.231,KR,1.0
23.225.148.164,HK,1.0
0.8.104.139,PK,1.0
0.8.99.69,RU,0.5278207109737248
0.8.117.200,RU,1.0
0.8.108.152,CO,0.5890014471780028
0.8.122.79,KR,1.0
0.8.109.68,KR,1.0
0.8.108.164,US,0.9766734279918864
68.87.34.194,US,1.0
192.185.4.58,US,1.0
0.9.126.160,US,0.9607843137254902
0.8.111.151,RU,1.0
0.8.111.37,US,1.0
108.167.157.35,US,1.0
0.8.107.242,KR,1.0
0.8.106.185,US,0.9813953488372092
0.9.77.83,JP,1.0
0.8.115.52,IR,0.9404600811907984
0.8.109.99,CZ,1.0
0.8.128.75,KR,1.0
0.8.108.172,BD,0.9684601113172542
0.8.121.192,BD,0.9802120141342756
0.8.114.168,BD,0.9669250645994832
0.8.169.202,KR,1.0
0.9.246.164,US,1.0
0.8.119.17,BD,0.9400516011534376
0.8.148.70,BD,0.940914671577655
0.8.246.196,BD,0.9796992481203007
0.8.107.18,US,0.9840490797546012
0.8.240.54,US,0.9896729776247849
0.8.129.211,BD,0.9276220745449292
50.87.170.34,US,1.0
0.8.101.14,CN,0.7437198680537934
0.8.110.210,US,0.9844479004665629
0.8.102.119,JP,1.0
0.8.109.250,UA,0.6666666666666666
192.185.4.26,US,1.0
0.8.105.221,JP,0.6097838452787259
0.8.139.87,JP,0.4986276303751144
0.8.115.115,VE,0.4
0.8.112.16,AR,1.0
0.8.109.214,IT,1.0
0.8.107.108,GB,0.6122448979591837
0.8.116.141,IN,0.9841849148418491
0.8.105.152,JP,1.0
0.8.103.154,US,0.8410104011887073
0.8.122.48,RU,1.0
208.91.196.144,VG,1.0
0.8.110.189,DE,0.7558139534883721
0.8.121.120,BD,0.9823413996075867
0.8.121.108,BD,0.97805885389778
5.161.90.11,US,0.5714285714285714
0.8.118.54,IR,1.0
0.8.106.193,ID,0.967032967032967
0.8.109.227,UA,1.0
0.8.105.218,SG,1.0
192.185.4.77,US,1.0
0.8.103.62,KR,1.0
0.8.103.213,KR,0.9988452655889145
192.185.4.80,US,1.0
0.8.99.117,RU,1.0
