response A record, cluster size
127.0.0.1,1362
67.20.113.163,117
173.254.104.74,177
173.254.30.154,21
208.91.196.56,27
0.8.97.123,26
0.8.102.177,102
0.10.78.25,212
0.8.106.198,1
0.8.108.52,149
0.8.106.139,2
0.8.98.152,4957
67.20.115.110,66
0.8.109.191,72
0.8.102.47,32
0.8.105.21,8
0.8.119.182,140
0.9.66.68,226
0.9.180.198,214
162.241.85.139,76
0.8.111.232,1
0.9.9.78,26
192.185.4.20,70
0.8.104.96,1
0.8.121.146,4
0.8.102.126,17
0.8.104.152,10
0.9.49.251,139
50.87.192.171,168
0.8.101.9,4778
0.8.111.240,5277
0.8.105.112,62
0.8.114.140,1
0.8.103.165,25
0.8.100.25,184
0.8.105.241,839
0.8.112.71,47
0.8.108.48,128
50.87.144.169,55
0.8.108.124,2
0.8.103.114,70
50.87.144.136,60
0.8.101.40,7010
0.8.107.17,1458
0.8.115.152,1
0.8.104.110,6
0.8.102.71,4
0.8.110.191,1771
0.8.108.42,185
0.8.105.28,11
0.8.122.168,12
0.8.128.25,212
0.8.100.217,6142
0.8.114.230,45
0.8.106.84,1024
0.8.102.231,256
23.225.148.164,15
0.8.104.139,168
0.8.99.69,1294
0.8.117.200,5
0.8.108.152,691
0.8.122.79,936
0.8.109.68,462
0.8.108.164,986
68.87.34.194,2
192.185.4.58,74
0.9.126.160,102
0.8.111.151,12
0.8.111.37,26
108.167.157.35,9
0.8.107.242,7
0.8.106.185,215
0.9.77.83,109
0.8.115.52,739
0.8.109.99,1
0.8.128.75,909
0.8.108.172,1617
0.8.121.192,1415
0.8.114.168,1935
0.8.169.202,350
0.9.246.164,1
0.8.119.17,6589
0.8.148.70,6516
0.8.246.196,1330
0.8.107.18,815
0.8.240.54,581
0.8.129.211,13844
50.87.170.34,230
0.8.101.14,3941
0.8.110.210,643
0.8.102.119,249
0.8.109.250,3
192.185.4.26,64
0.8.105.221,879
0.8.139.87,1093
0.8.115.115,5
0.8.112.16,7
0.8.109.214,11
0.8.107.108,49
0.8.116.141,822
0.8.105.152,266
0.8.103.154,1346
0.8.122.48,1
208.91.196.144,31
0.8.110.189,258
0.8.121.120,4587
0.8.121.108,3874
5.161.90.11,14
0.8.118.54,126
0.8.106.193,182
0.8.109.227,17
0.8.105.218,62
192.185.4.77,65
0.8.103.62,793
0.8.103.213,866
192.185.4.80,66
0.8.99.117,36
0.8.114.16,157
0.8.119.7,21
0.8.110.165,736
0.8.107.101,17
162.241.253.171,8
0.8.104.207,40
0.8.107.166,465
0.8.105.243,1123
0.8.119.101,3490
0.8.121.235,69
0.8.116.81,158
0.8.114.46,255
0.8.108.5,1777
0.8.117.37,3843
162.241.219.113,9
0.8.108.31,1
0.8.140.194,3077
0.8.152.240,3838
0.8.152.148,3443
0.8.119.6,168
0.8.112.219,4
0.8.117.19,17787
0.8.110.162,51
0.8.246.37,35
0.8.113.60,1723
0.8.109.125,253
0.8.109.212,2
0.8.109.0,109
0.8.106.237,37
198.57.247.254,53
208.91.112.55,1509
50.87.219.111,28
0.8.128.136,1126
0.8.133.208,936
0.8.133.213,43
0.10.197.182,495
0.8.140.147,318
0.8.171.134,24
0.9.252.130,36
0.8.111.91,1
0.8.108.224,220
0.8.105.2,1560
0.8.103.242,1604
0.8.101.203,843
0.8.112.95,23
0.8.126.42,4915
0.8.104.55,1237
108.167.133.25,59
0.8.117.1,31
0.8.109.40,1
0.9.61.50,187
0.8.114.228,413
0.8.135.186,18
0.8.108.14,282
0.8.109.8,13
50.87.225.217,137
0.8.123.198,70
0.8.128.87,1
0.10.198.161,8
0.8.109.36,1592
0.8.112.193,142
0.8.113.57,1103
0.8.114.15,53
0.8.114.65,1312
